Zone,Crop.zone,Efficiency,Net.irrigation,Gross.irrigation,Area
1,1,60,400,700,North
2,1,60,500,850,North
3,1,60,450,750,North
4,1,60,800,1 350,North
5,1,60,700,1 200,North
6,1,60,900,1 500,North
7,2,70,900,1 300,North
8,1,60,650,1 100,North
9,1,60,750,1 250,North
10,5,80,900,1 150,
11,5,80,1 000,1 250,
12,5,80,1 250,1 600,
13,2,70,900,1 300,North
14,2,70,1 250,1 800,North
15,2,70,1 600,2 300,North
16,2,70,1 200,1 750,North
17,7,80,1 400,1 750,East
18,7,80,1 200,1 500,East
19,7,80,900,1 150,East
20,7,80,750,950,East
21,3a,50,400,800,West
22,3a,50,350,700,West
23,3a,50,600,1 200,West
24,3a,50,250,500,West
25,6,50,350,700,East
26,17,50,500,1 000,East
27,3a,50,150,300,West
28,6,50,100,200,East
29,6,50,250,500,East
30,3b,50,1 200,2 400,
31,3b,50,750,1 500,
32,8,50,750,1 500,East
33,8,50,450,900,East
34,3b,50,500,1 000,
35,3b,50,850,1 700,
36,3b,50,200,400,
37,4c,50,1 500,3 000,East
38,3b,50,350,700,
39,10,50,400,800,East
40,10,50,850,1 700,East
41,10,50,350,700,East
42,10,50,600,1 200,East
43,10,50,350,700,East
44,10,50,600,1 200,East
45,11,45,550,1 250,
46,9,50,500,1 000,
47,9,50,400,800,
48,9,50,650,1 300,
49,9,50,850,1 700,
50,4a,45,2 200,4 900,West
51,4a,45,1 650,3 700,West
52,4a,45,1 400,3 150,West
53,12a,45,1 250,2 800,
54,12a,45,900,2 000,
55,4b,50,800,1 600,West
56,12a,45,700,1 600,
57,12a,45,550,1 250,
58,12a,45,500,1 150,
59,12b,45,500,1 150,
60,12b,45,550,1 250,
61,12b,45,650,1 450,
62,12b,45,900,2 000,
63,14,65,200,350,South
64,13,50,300,600,South
65,14,65,350,550,South
66,14,65,400,650,South
67,14,65,600,950,South
68,16,60,400,700,South
69,16,60,950,1 600,South
70,16,60,800,1 350,South
71,16,60,600,1 000,South
72,16,60,500,850,South
73,4d,50,1 000,2 000,South
74,4e,50,450,900,South
75,4d,50,750,1 500,South
76,11,45,500,1 150,East
77,11,45,550,1 250,East
78,11,45,450,1 000,East
79,15,60,650,1 100,South
80,18,60,300,500,
81,18,60,1 500,2 500,
82,13,50,200,400,South
83,18,60,150,250,
84,2,70,900,1 300,North