total.withdrawal,consumptive.use
139,139
0.6,0.3
5670,3180
5940,4390
28900,23500
12700,4910
28,28
48,48
0,0
3470,2170
722,722
652,415
13000,4310
180,180
116,104
39,39
3380,3220
12,11
769,596
27,24
62,57
82,81
227,216
157,140
1740,1110
567,421
8550,1820
7550,6740
1640,1060
6.3,5.7
125,46
2990,1680
30,26
239,239
117,105
27,26
864,401
6170,3070
16,16
23,2.3
52,52
269,175
24,24
9450,8140
3530,1930
3.9,3.5
30,18
6470,2800
0,0
169,151
6590,2660
107,70
0,0